Unternehmensname (JP),Unternehmensname (EN),Branche,Europaaktivität,Kontaktperson (Name),Funktion / Abteilung,Standort,E-Mail-Adresse (falls verfügbar),Quelle / Link
Toyota Motor Corporation,Toyota Motor Corporation,Japanese Auto Manufacturers,,,,,,https://disfold.com/company/toyota-motor-corporation/
"Mitsubishi UFJ Financial Group, Inc.","Mitsubishi UFJ Financial Group, Inc.",Japanese Banks—Diversified,,,,,,https://disfold.com/company/mitsubishi-ufj-financial-group-inc/
Sony Group Corporation,Sony Group Corporation,Japanese Consumer Electronics,,,,,,https://disfold.com/company/sony-group-corporation/
Hitachi Ltd,Hitachi Ltd,Japanese Conglomerates,,,,,,https://disfold.com/company/hitachi-ltd/
Nintendo Co Ltd,Nintendo Co Ltd,Japanese Electronic Gaming & Multimedia,,,,,,https://disfold.com/company/nintendo-co-ltd/
SoftBank Group Corp.,SoftBank Group Corp.,Japanese Telecom Services,,,,,,https://disfold.com/company/softbank-group-corp/
Fast Retailing Co. Ltd,Fast Retailing Co. Ltd,Japanese Apparel Retail,,,,,,https://disfold.com/company/fast-retailing-co-ltd/
"Sumitomo Mitsui Financial Group, Inc.","Sumitomo Mitsui Financial Group, Inc.",Japanese Banks—Diversified,,,,,,https://disfold.com/company/sumitomo-mitsui-financial-group-inc/
Keyence Corp,Keyence Corp,Japanese Scientific & Technical Instruments,,,,,,https://disfold.com/company/keyence-corp/
Nippon Telegraph & Telephone Corp,Nippon Telegraph & Telephone Corp,Japanese Telecom Services,,,,,,https://disfold.com/company/nippon-telegraph-telephone-corp/
Tokyo Electron Ltd,Tokyo Electron Ltd,Japanese Semiconductor Equipment & Materials,,,,,,https://disfold.com/company/tokyo-electron-ltd/
Recruit Holdings Co Ltd,Recruit Holdings Co Ltd,Japanese Staffing & Employment Services,,,,,,https://disfold.com/company/recruit-holdings-co-ltd/
Mitsubishi Heavy Industries Ltd,Mitsubishi Heavy Industries Ltd,Japanese Specialty Industrial Machinery,,,,,,https://disfold.com/company/mitsubishi-heavy-industries-ltd/
Chugai Pharmaceutical Co. Ltd,Chugai Pharmaceutical Co. Ltd,Japanese Drug Manufacturers—General,,,,,,https://disfold.com/company/chugai-pharmaceutical-co-ltd/
"Tokio Marine Holdings, Inc.","Tokio Marine Holdings, Inc.",Japanese Insurance—Property & Casualty,,,,,,https://disfold.com/company/tokio-marine-holdings-inc/
Mitsubishi Corp,Mitsubishi Corp,Japanese Conglomerates,,,,,,https://disfold.com/company/mitsubishi-corp/
ITOCHU Corp,ITOCHU Corp,Japanese Conglomerates,,,,,,https://disfold.com/company/itochu-corp/
KDDI Corp,KDDI Corp,Japanese Telecom Services,,,,,,https://disfold.com/company/kddi-corp/
"Mizuho Financial Group, Inc.","Mizuho Financial Group, Inc.",Japanese Banks—Regional,,,,,,https://disfold.com/company/mizuho-financial-group-inc/
Shin-Etsu Chemical Co Ltd,Shin-Etsu Chemical Co Ltd,Japanese Chemicals,,,,,,https://disfold.com/company/shin-etsu-chemical-co-ltd/
Mitsui & Co. Ltd,Mitsui & Co. Ltd,Japanese Oil & Gas E&P,,,,,,https://disfold.com/company/mitsui-co-ltd/
Advantest Corp,Advantest Corp,Japanese Semiconductor Equipment & Materials,,,,,,https://disfold.com/company/advantest-corp/
"Japan Tobacco, Inc.","Japan Tobacco, Inc.",Japanese Tobacco,,,,,,https://disfold.com/company/japan-tobacco-inc/
